1PG,20141023,0.4,0.4,0.37,0.375,458976
3PL,20141023,2.32,2.36,2.32,2.32,18354
8CO,20141023,0.235,0.235,0.235,0.235,196719
AAA,20141023,50.18,50.19,50.17,50.17,56767
AAC,20141023,1.425,1.455,1.415,1.44,649894
AAD,20141023,3.34,3.36,3.265,3.3,1444337
AAR,20141023,0.013,0.013,0.012,0.012,270000
AAX,20141023,0.5,0.51,0.48,0.5,247114
ABC,20141023,3.33,3.36,3.31,3.34,1229136
ABP,20141023,2.6,2.64,2.6,2.62,448359
ABU,20141023,0.365,0.365,0.355,0.36,242504
ABW,20141023,1.02,1.02,1.015,1.015,164289
ABX,20141023,0.32,0.325,0.31,0.31,111300
ABY,20141023,0.22,0.22,0.215,0.215,28222
ACG,20141023,0.085,0.085,0.085,0.085,52000
ACK,20141023,0.31,0.31,0.31,0.31,9000
ACL,20141023,0.6,0.62,0.585,0.6,1584402
ACP,20141023,0.21,0.21,0.21,0.21,3000
ACQ,20141023,0.84,0.86,0.84,0.86,95000
ACR,20141023,1.21,1.22,1.105,1.12,2521291
ACW,20141023,0.04,0.04,0.04,0.04,36698
ADJ,20141023,0.13,0.13,0.125,0.125,600457
ADN,20141023,0.029,0.029,0.029,0.029,542785
ADO,20141023,0.135,0.135,0.125,0.125,4271421
ADX,20141023,0.01,0.01,0.01,0.01,88000
ADY,20141023,0.029,0.029,0.029,0.029,650000
AEB,20141023,0.07,0.07,0.07,0.07,55000
AEE,20141023,0.027,0.027,0.023,0.023,409632
AEF,20141023,41.9,41.99,41.9,41.99,100
AEI,20141023,0.15,0.15,0.15,0.15,20000
AEK,20141023,0.063,0.065,0.063,0.063,180000
AEM,20141023,0.012,0.012,0.012,0.012,1100000
AFA,20141023,0.19,0.19,0.18,0.18,5374
AFI,20141023,5.96,5.99,5.93,5.93,241126
AFJ,20141023,1.31,1.31,1.28,1.3,169247
AFR,20141023,0.067,0.069,0.061,0.065,438000
AGB,20141023,0.28,0.29,0.28,0.29,4548
AGE,20141023,0.038,0.038,0.038,0.038,200000
AGF,20141023,0.785,0.785,0.775,0.775,180774
AGG,20141023,2.39,2.5,2.25,2.25,2749
AGI,20141023,3.07,3.08,3.03,3.06,305108
AGK,20141023,13.59,13.64,13.32,13.59,2796289
AGO,20141023,0.365,0.375,0.36,0.36,8824742
AGR,20141023,0.042,0.042,0.042,0.042,240000
AGS,20141023,0.19,0.195,0.19,0.195,41300
AHD,20141023,9.49,9.49,9.35,9.35,10088
AHE,20141023,3.8,3.81,3.71,3.74,330360
AHY,20141023,1.985,2,1.97,1.99,1063668
AHZ,20141023,0.13,0.135,0.125,0.125,2267141
AIA,20141023,3.48,3.48,3.39,3.45,7571
AIO,20141023,5.94,6.14,5.94,6.09,4855333
AIW,20141023,0.003,0.004,0.002,0.002,30481434
AIZ,20141023,1.73,1.75,1.72,1.75,10454
AJA,20141023,4.4,4.4,4.3,4.3,43650
AJC,20141023,0.004,0.004,0.004,0.004,1020000
AJD,20141023,1.075,1.075,1.07,1.07,102440
AJL,20141023,0.69,0.7,0.65,0.69,148333
AJM,20141023,0.105,0.105,0.105,0.105,50000
AJQ,20141023,0.089,0.09,0.089,0.09,80000
AJX,20141023,0.165,0.17,0.165,0.17,110000
AKA,20141023,0.072,0.072,0.072,0.072,9999
AKF,20141023,0.12,0.12,0.12,0.12,505100
AKG,20141023,1.23,1.25,1.16,1.25,52426
AKK,20141023,0.013,0.013,0.013,0.013,5575000
AKM,20141023,0.044,0.044,0.044,0.044,61500
AKP,20141023,10,10.95,10,10.95,12410
ALA,20141023,0.18,0.195,0.17,0.195,319473
ALF,20141023,1.54,1.585,1.54,1.555,380160
ALK,20141023,0.245,0.25,0.24,0.24,37682
ALL,20141023,6.47,6.5,6.42,6.44,1455461
ALQ,20141023,5.52,5.6,5.48,5.53,955734
ALR,20141023,1.15,1.155,1.145,1.15,110300
ALT,20141023,0.033,0.033,0.033,0.033,361915
ALU,20141023,2.93,2.95,2.9,2.95,125073
ALY,20141023,0.015,0.015,0.015,0.015,20000
AMA,20141023,0.32,0.32,0.32,0.32,74390
AMB,20141023,0.14,0.14,0.14,0.14,5514
AMC,20141023,11.27,11.27,11.18,11.23,4320851
AMH,20141023,0.895,0.895,0.89,0.89,32583
AMI,20141023,0.325,0.325,0.32,0.32,159592
AMM,20141023,1.89,1.89,1.84,1.86,14718322
AMP,20141023,5.35,5.41,5.34,5.39,10773955
ANG,20141023,1.16,1.16,1.13,1.155,25001
ANI,20141023,2.06,2.06,2.02,2.03,148209
ANN,20141023,19.2,19.44,19.05,19.29,270904
ANO,20141023,0.026,0.026,0.026,0.026,158317
ANP,20141023,0.105,0.105,0.105,0.105,26250
ANQ,20141023,0.005,0.005,0.005,0.005,6174794
ANR,20141023,0.395,0.395,0.39,0.39,47500
ANZ,20141023,32.78,32.98,32.73,32.93,5093333
AOC,20141023,0.17,0.17,0.17,0.17,32000
AOD,20141023,0.96,0.965,0.96,0.965,65401
AOG,20141023,2.09,2.1,2.07,2.08,535604
AOH,20141023,0.235,0.235,0.23,0.23,468365
AOK,20141023,0.2,0.202,0.19,0.19,2153492
AON,20141023,0.014,0.015,0.014,0.014,1987222
AOW,20141023,0.2,0.2,0.185,0.185,460000
APA,20141023,7.55,7.61,7.53,7.56,920914
APD,20141023,0.32,0.32,0.32,0.32,5000
APE,20141023,5.5,5.5,5.35,5.5,27843
APG,20141023,0.016,0.017,0.015,0.017,1440000
API,20141023,0.67,0.702,0.67,0.7,1216194
APN,20141023,0.775,0.775,0.765,0.775,518170
APW,20141023,0.115,0.115,0.11,0.115,4418832
APZ,20141023,1.24,1.26,1.24,1.26,10343
AQD,20141023,0.012,0.012,0.012,0.012,441391
AQG,20141023,2.1,2.105,2.07,2.09,74466
AQP,20141023,0.31,0.31,0.3,0.3,321383
AQR,20141023,0.135,0.14,0.13,0.13,399744
AQU,20141023,0.44,0.44,0.44,0.44,2000
ARD,20141023,0.03,0.03,0.029,0.029,46125
ARE,20141023,0.018,0.018,0.018,0.018,56667
ARF,20141023,1.44,1.46,1.4,1.405,66403
ARG,20141023,7.7,7.74,7.65,7.65,178211
ARI,20141023,0.345,0.35,0.34,0.345,20088922
ARP,20141023,13.09,13.13,12.84,12.97,141270
ARU,20141023,0.058,0.062,0.056,0.062,428752
ARV,20141023,0.003,0.003,0.003,0.003,530000
ARW,20141023,0.125,0.125,0.125,0.125,450
ARX,20141023,0.004,0.004,0.003,0.003,975000
ASB,20141023,1.245,1.255,1.245,1.25,350027
ASH,20141023,1.72,1.75,1.72,1.75,12077
ASL,20141023,0.76,0.785,0.73,0.73,1238408
AST,20141023,1.33,1.347,1.33,1.34,3679127
ASW,20141023,0.6,0.61,0.595,0.61,6961
ASX,20141023,35.02,35.17,34.87,35.08,554281
ASZ,20141023,0.785,0.805,0.78,0.79,1435460
ATP,20141023,0.105,0.105,0.1,0.1,160000
AUB,20141023,10.44,10.46,10.1,10.35,8259
AUI,20141023,8.28,8.28,8.28,8.28,3600
AUZ,20141023,0.008,0.008,0.007,0.007,271931
AVB,20141023,0.09,0.092,0.089,0.089,1908870
AVG,20141023,0.41,0.415,0.41,0.415,277242
AVH,20141023,0.1,0.1,0.1,0.1,102350
AVI,20141023,0.004,0.005,0.004,0.005,2325000
AVJ,20141023,0.63,0.65,0.63,0.65,60000
AVK,20141023,0.026,0.026,0.026,0.026,434500
AVQ,20141023,0.019,0.02,0.018,0.018,9612281
AVX,20141023,0.015,0.016,0.015,0.016,54916
AWC,20141023,1.675,1.677,1.615,1.655,21249311
AWE,20141023,1.73,1.77,1.71,1.76,2873607
AWI,20141023,0.16,0.18,0.16,0.17,590228
AWV,20141023,0.038,0.039,0.038,0.039,1309177
AXC,20141023,0.017,0.019,0.017,0.019,1001589
AXE,20141023,0.17,0.17,0.16,0.16,203075
AYA,20141023,0.28,0.28,0.28,0.28,12000
AYD,20141023,101.68,101.68,101.68,101.68,350
AYF,20141023,6.45,6.45,6.45,6.45,1502
AYR,20141023,0.008,0.008,0.008,0.008,250000
AZJ,20141023,4.54,4.58,4.52,4.53,10836204
AZK,20141023,0.016,0.016,0.016,0.016,50000
AZM,20141023,0.035,0.035,0.035,0.035,217536
AZS,20141023,0.024,0.024,0.023,0.023,601951
AZV,20141023,0.44,0.44,0.41,0.41,194465
AZY,20141023,0.009,0.009,0.007,0.007,250000
AZZ,20141023,0.435,0.44,0.427,0.43,340054
BAL,20141023,1.44,1.45,1.435,1.435,90645
BAP,20141023,2.35,2.36,2.33,2.33,138634
BAS,20141023,0.006,0.006,0.006,0.006,521375
BAU,20141023,0.125,0.125,0.115,0.115,188227
BBG,20141023,0.675,0.68,0.66,0.675,325991
BBR,20141023,0.38,0.38,0.36,0.36,52934
BCD,20141023,0.04,0.04,0.04,0.04,11
BCI,20141023,1.41,1.435,1.385,1.41,1791376
BCN,20141023,0.003,0.003,0.003,0.003,500000
BCT,20141023,0.074,0.078,0.074,0.078,125440
BDI,20141023,0.002,0.002,0.002,0.002,39803571
BDR,20141023,0.35,0.355,0.335,0.345,3120955
BEAR,20141023,18.12,18.13,18.04,18.07,81737
BEL,20141023,0.15,0.15,0.15,0.15,3500
BEN,20141023,11.92,11.92,11.76,11.83,1102892
BFG,20141023,0.52,0.52,0.52,0.52,12512
BGA,20141023,5.03,5.14,5.03,5.14,224390
BGL,20141023,0.84,0.84,0.812,0.83,99233
